material_id,year,material_annual_sales_result
SP-0008,2014,31987
SP-0019,1987,0
SP-0019,1989,0
SP-0019,1995,15
SP-0019,1996,2926
SP-0019,1997,2433
SP-0019,1999,1510
SP-0019,2000,0
SP-0019,2001,150
SP-0019,2002,25
SP-0019,2003,213
SP-0019,2004,994
SP-0019,2005,70600
SP-0019,2006,66885
SP-0019,2007,124322
SP-0019,2008,47339
SP-0019,2009,189389
SP-0019,2010,2427
SP-0019,2011,482529
SP-0019,2012,661190
SP-0019,2013,740644
SP-0019,2014,26700
SP-0028,1988,55
SP-0028,1991,1714
SP-0028,1992,350
SP-0028,1993,585
SP-0028,1994,1660
SP-0028,1995,1834
SP-0028,1996,70
SP-0028,1997,35160
SP-0028,1998,894
SP-0028,1999,18554
SP-0028,2000,1527
SP-0028,2001,183416
SP-0028,2002,8898
SP-0028,2003,28974
SP-0028,2004,26678
SP-0028,2005,3645544
SP-0028,2006,110849
SP-0028,2007,51478
SP-0028,2008,89801
SP-0028,2009,108622
SP-0028,2010,1341236
SP-0028,2011,4191639
SP-0028,2012,389728
SP-0028,2013,1480641
SP-0028,2014,1308237
SP-0029,1987,0
SP-0029,1989,536
SP-0029,1991,650
SP-0029,1992,371
SP-0029,1993,0
SP-0029,1994,10185
SP-0029,1995,1560
SP-0029,1996,42
SP-0029,1997,5227
SP-0029,1998,23714
SP-0029,1999,4185
SP-0029,2000,3075
SP-0029,2001,20590
SP-0029,2002,103843
SP-0029,2003,1942
SP-0029,2004,972346
SP-0029,2005,826494
SP-0029,2006,8176460
SP-0029,2007,1082089
SP-0029,2008,19853895
SP-0029,2009,69791527
SP-0029,2010,13966639
SP-0029,2011,12901386
SP-0029,2012,15514001
SP-0029,2013,24268150
SP-0029,2014,10912584
SP-0029,2015,130198
SP-0029,2016,865
SP-0029,2017,173
SP-0030,2005,262
SP-0030,2007,28
SP-0030,2008,70
SP-0030,2009,295
SP-0030,2010,9099
SP-0030,2011,164
SP-0030,2014,868
SP-0031,2011,2414
SP-0032,2012,21880
SP-0032,2013,15500
SP-0033,2005,750
SP-0033,2006,750
SP-0033,2007,4
SP-0033,2010,1440
SP-0033,2011,138300
SP-0033,2012,75644
SP-0033,2013,601003
SP-0033,2014,70247
SP-0034,2008,425
SP-0034,2011,645
SP-0034,2013,78
SP-0034,2014,8093
SP-0035,1982,4650
SP-0035,1985,550
SP-0035,1988,0
SP-0035,1989,120
SP-0035,1993,30
SP-0035,1994,305
SP-0035,1995,336
SP-0035,1996,129
SP-0035,1997,168876
SP-0035,1998,339
SP-0035,1999,3024
SP-0035,2000,6236
SP-0035,2001,39394
SP-0035,2002,27953
SP-0035,2003,135036
SP-0035,2004,116554
SP-0035,2005,29876
SP-0035,2006,19020602
SP-0035,2007,113687
SP-0035,2008,523542
SP-0035,2009,4613880
SP-0035,2010,459074
SP-0035,2011,2233333
SP-0035,2012,471474
SP-0035,2013,4719792
SP-0035,2014,11223450
SP-0036,2013,539
SP-0037,1997,251
SP-0037,1998,342
SP-0037,1999,590
SP-0037,2000,116
SP-0037,2001,465
SP-0037,2003,205
SP-0037,2004,39
SP-0037,2005,30
SP-0037,2006,88215
SP-0037,2007,111594
SP-0037,2008,104156
SP-0037,2009,2299665
SP-0037,2010,29497
SP-0037,2011,83193
SP-0037,2012,29805
SP-0037,2013,255275
SP-0037,2014,89411
SP-0037,2015,1200
SP-0038,1997,6
SP-0038,1998,36
SP-0038,2000,71
SP-0038,2001,8
SP-0038,2002,35
SP-0038,2004,62
SP-0038,2005,60
SP-0038,2006,8815
SP-0038,2007,21120
SP-0038,2008,8005
SP-0038,2009,128315
SP-0038,2010,251
SP-0038,2011,32425
SP-0038,2012,15915
SP-0038,2013,198090
SP-0038,2014,16280
SP-0038,2017,216
SP-0039,1995,0
SP-0039,1996,0
SP-0039,1997,0
SP-0039,1998,0
SP-0039,1999,0
SP-0039,2000,34
SP-0039,2001,0
SP-0039,2004,4590
SP-0039,2005,7740
SP-0039,2007,114
SP-0039,2008,921418
SP-0039,2009,11769
SP-0039,2010,1868
SP-0039,2011,170648
SP-0039,2012,54003
SP-0039,2013,885858
SP-0039,2014,1707656
SP-0041,2014,79304
SP-0044,2012,81
SP-0046,1995,0
SP-0046,1997,0
SP-0046,2001,386
SP-0046,2002,69
SP-0046,2007,111
SP-0046,2008,184
SP-0046,2010,1463
SP-0046,2011,27332
SP-0046,2012,6750
SP-0046,2013,86435
SP-0046,2014,1207
SP-0048,2011,1200
SP-0048,2012,52796
SP-0048,2013,351506
SP-0048,2014,1433270
