component_id,sleeve_connection_type_id,sleeve_length,sleeve_intended_nut_thread,sleeve_intended_nut_pitch,sleeve_unique_feature,sleeve_plating,sleeve_orientation,sleeve_weight
C-0001,B-001,17.3,1.062,12,N,N,N,0.013
C-0002,B-001,11.2,0.5,20,N,N,N,0.005
C-0003,B-001,19.3,1.187,12,N,N,N,0.014
C-0048,B-002,9.5,0.562,18,N,N,N,0.006
C-0049,B-002,9.5,0.812,16,N,N,N,0.012
C-0050,B-002,10.5,1.0,14,N,N,N,0.015
C-0051,B-002,14.0,1.187,12,N,N,N,0.033
C-0052,B-002,15.5,1.4369999999999998,12,N,N,N,0.041
C-0053,B-002,15.5,2.0,12,N,N,N,0.079
C-0058,B-002,8.6,0.687,16,N,N,N,0.006
C-0059,B-002,10.5,1.0,14,N,N,N,0.015
C-0060,B-002,12.5,2.0,12,N,N,N,0.042
C-0096,B-002,8.5,0.687,16,N,Y,N,0.006
C-0101,B-002,10.5,0.812,16,N,Y,N,0.01
C-0186,B-002,15.5,1.4369999999999998,12,N,N,N,0.024
C-0226,B-001,12.7,0.562,18,N,N,N,0.06
C-0228,B-001,16.8,0.875,14,N,N,N,0.06
C-0309,B-001,16.8,0.875,14,N,N,N,0.001
C-0391,B-002,10.5,0.812,16,N,N,N,0.009000000000000001
C-0445,B-001,19.8,1.3119999999999998,12,N,N,N,0.02
C-0449,B-001,14.2,0.75,16,N,N,N,0.006
C-0830,B-001,23.1,1.625,12,N,N,N,0.027000000000000003
C-1035,B-002,12.0,0.812,16,Y,N,N,0.017
C-1074,B-001,13.08,0.5,20,N,N,N,0.006
C-1244,B-001,12.7,0.562,18,N,N,N,0.005
C-1332,B-002,16.5,0.687,16,Y,N,N,0.012
C-1420,B-001,16.8,0.875,14,N,N,N,0.009000000000000001
C-1443,B-001,28.4,1.875,12,N,N,N,0.09
C-1627,B-002,14.1,0.562,18,Y,N,N,0.005
C-1628,B-002,14.1,0.687,16,Y,N,N,0.006
C-1629,B-002,14.1,0.812,16,Y,N,N,0.012
C-1630,B-002,14.1,1.0,14,Y,N,N,0.018000000000000002
C-1631,B-002,14.1,1.187,12,Y,N,N,0.026
C-1632,B-002,14.1,1.4369999999999998,12,Y,N,N,0.033
C-1633,B-002,14.1,1.6869999999999998,12,Y,N,N,0.04
C-1635,B-002,17.0,1.4369999999999998,12,Y,N,N,0.025
C-1652,B-002,17.0,1.4369999999999998,12,Y,N,N,0.045
C-1653,B-002,15.5,1.4369999999999998,12,Y,N,N,0.03
C-1654,B-002,14.5,1.187,12,Y,N,N,0.029
C-1655,B-002,14.5,1.187,12,Y,N,N,0.025
C-1656,B-002,14.5,1.187,12,Y,N,N,0.023
C-1657,B-002,14.5,1.187,12,Y,N,N,0.02
C-1658,B-002,13.5,1.0,14,Y,N,N,0.021
C-1659,B-002,13.5,1.0,14,Y,N,N,0.019
C-1660,B-002,12.0,0.812,16,Y,N,N,0.012
C-1661,B-002,10.5,0.687,16,Y,N,N,0.005
C-1703,B-002,20.0,1.4369999999999998,12,N,N,N,0.059
C-1846,B-001,10.4,0.4370000000000001,20,N,N,N,0.002
C-1866,B-002,14.1,2.0,12,Y,N,N,0.035
C-2035,B-002,9.5,0.562,18,Y,N,N,0.001
